sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to shake someone's hand with their mind.,impossible,0.0263157894736842,0.9736842105263158,36.389522552490234,-7.805621147155762,-7.805621147155762,-7.805621147155762,-42.803924560546875
Someone is about to shake someone's hand with their mouth.,improbable,0.5641025641025641,0.4358974358974359,31.416845321655273,-9.182266235351562,-9.182266235351562,-9.182266235351562,-44.11103820800781
Someone is about to stay awake for 5 days.,improbable,0.525,0.475,36.47893142700195,-7.330634593963623,-7.330634593963623,-7.330634593963623,-41.832923889160156
Someone is about to stay awake for 5 hours.,possible,1.0,0.0,29.064102172851562,-8.59375,-8.59375,-8.59375,-44.1024284362793
Someone is about to stay awake for 5 years.,impossible,0.0512820512820512,0.9487179487179488,38.33523941040039,-6.937351703643799,-6.937351703643799,-6.937351703643799,-41.69529724121094
Someone is about to steal a large rock.,improbable,0.975,0.025,26.65451431274414,-8.846912384033203,-8.846912384033203,-8.846912384033203,-56.583499908447266
Someone is about to turn an onion into apple juice.,impossible,0.0,1.0,33.66490936279297,-9.244604110717773,-9.244604110717773,-9.244604110717773,-50.39723587036133
Someone is about to turn an onion into onion juice.,improbable,0.9230769230769232,0.0769230769230769,35.107078552246094,-7.946918487548828,-7.946918487548828,-7.946918487548828,-46.745609283447266
Someone is about to turn an onion into onion slices.,possible,0.9736842105263158,0.0263157894736842,29.452796936035156,-8.385005950927734,-8.385005950927734,-8.385005950927734,-46.02783203125
Someone is about to unlock a door with a doorkey.,possible,1.0,0.0,28.19019317626953,-8.925826072692871,-8.925826072692871,-8.925826072692871,-52.58300018310547
Someone is about to unlock a door with a toothpick.,improbable,0.6666666666666666,0.3333333333333333,31.360624313354492,-9.6350679397583,-9.6350679397583,-9.6350679397583,-50.43251419067383
Someone is about to unlock a door with their mind.,impossible,0.05,0.95,39.188655853271484,-8.699377059936523,-8.699377059936523,-8.699377059936523,-50.26905059814453
Someone is about to wait in line to go into the store.,possible,1.0,0.0,25.85593032836914,-10.464842796325684,-10.464842796325684,-10.464842796325684,-50.75593566894531
Someone is about to walk through a brick wall.,impossible,0.1025641025641025,0.8974358974358975,31.145580291748047,-9.164831161499023,-9.164831161499023,-9.164831161499023,-47.5015869140625
Someone is about to walk through a hot fire.,improbable,0.6153846153846154,0.3846153846153846,34.61174011230469,-9.763531684875488,-9.763531684875488,-9.763531684875488,-51.69718551635742
Someone is about to walk through an open door.,possible,1.0,0.0,31.942996978759766,-10.285128593444824,-10.285128593444824,-10.285128593444824,-49.83638381958008
Someone is about to wear shoes made out of leather.,possible,1.0,0.0,29.021026611328125,-8.603799819946289,-8.603799819946289,-8.603799819946289,-42.18450927734375
Someone is about to wear shoes made out of light.,impossible,0.05,0.95,31.990642547607422,-7.640827178955078,-7.640827178955078,-7.640827178955078,-43.041961669921875
Someone is about to wear shoes made out of stone.,improbable,0.4594594594594595,0.5405405405405406,32.71933364868164,-8.69762134552002,-8.69762134552002,-8.69762134552002,-44.95311737060547
