sentence,class
entering a room through a wall.,impossible
entering a room through a theory.,inconceivable
filling a bucket with sand.,probable
filling a bucket with acorns.,improbable
filling a bucket with buildings.,impossible
filling a bucket with time.,inconceivable
filling a purse with coins.,probable
filling a purse with cream.,improbable
filling a purse with sofas.,impossible
filling a purse with luck.,inconceivable
growing flowers inside a pot.,probable
growing flowers inside a mug.,improbable
growing flowers inside a marble.,impossible
growing flowers inside a sneeze.,inconceivable
hanging a painting using screws.,probable
hanging a painting using string.,improbable
hanging a painting using vapor.,impossible
hanging a painting using a handshake.,inconceivable
hiding a gift inside a closet.,probable
hiding a gift inside a forest.,improbable
hiding a gift inside a cloud.,impossible
hiding a gift inside a gasp.,inconceivable
lifting a box using a forklift.,probable
lifting a box using a pulley.,improbable
lifting a box using foam.,impossible
lifting a box using an emotion.,inconceivable
lighting a candle using a match.,probable
lighting a candle using a blowtorch.,improbable
lighting a candle using yogurt.,impossible
lighting a candle using surprises.,inconceivable
making a sandwich using bread.,probable
making a sandwich using lettuce.,improbable
making a sandwich using a star.,impossible
making a sandwich using a mile.,inconceivable
making a smoothie using a blender.,probable
making a smoothie using a whisk.,improbable
making a smoothie using wind.,impossible
making a smoothie using decades.,inconceivable
melting a chocolate bar using a stove.,probable
melting a chocolate bar using a radiator.,improbable
melting a chocolate bar using a napkin.,impossible
melting a chocolate bar using a promise.,inconceivable
opening a jar using their hands.,probable
opening a jar using their feet.,improbable
opening a jar using their mind.,impossible
opening a jar using an opinion.,inconceivable
packing a suit inside a suitcase.,probable
packing a suit inside a pocket.,improbable
packing a suit inside a raspberry.,impossible
packing a suit inside a groan.,inconceivable
painting a wall using a brush.,probable
painting a wall using a mop.,improbable
painting a wall using a bathtub.,impossible
painting a wall using a whisper.,inconceivable
paving a road using cement.,probable
paving a road using seashells.,improbable
paving a road using a comet.,impossible
paving a road using happiness.,inconceivable
plucking a hair using tweezers.,probable
plucking a hair using tongs.,improbable
plucking a hair using a spoon.,impossible
plucking a hair using sympathy.,inconceivable
polishing jewelry using a cloth.,probable
polishing jewelry using a shirt.,improbable
polishing jewelry using a chainsaw.,impossible
polishing jewelry using music.,inconceivable
popping a balloon using a thumbtack.,probable
popping a balloon using a spear.,improbable
popping a balloon using cotton balls.,impossible
popping a balloon using a story.,inconceivable
removing a stain using bleach.,probable
removing a stain using vinegar.,improbable
removing a stain using dirt.,impossible
removing a stain using truth.,inconceivable
rinsing fruit using a sink.,probable
rinsing fruit using a hose.,improbable
rinsing fruit using a clock.,impossible
rinsing fruit using a giggle.,inconceivable
sewing a shirt using a needle.,probable
sewing a shirt using a toothpick.,improbable
sewing a shirt using a potato.,impossible
sewing a shirt using thunder.,inconceivable
shattering a window using a stone.,probable
shattering a window using a frisbee.,improbable
shattering a window using confetti.,impossible
shattering a window using a concept.,inconceivable
shaving their beard using a razor.,probable
shaving their beard using a knife.,improbable
shaving their beard using a teabag.,impossible
shaving their beard using a belief.,inconceivable
smashing a pumpkin using a hammer.,probable
smashing a pumpkin using a boulder.,improbable
smashing a pumpkin using a leaf.,impossible
smashing a pumpkin using a number.,inconceivable
splitting a log using an axe.,probable
splitting a log using a saw.,improbable
splitting a log using a feather.,impossible
splitting a log using a gasp.,inconceivable
squeezing juice from an orange.,probable
squeezing juice from meat.,improbable
squeezing juice from an envelope.,impossible
squeezing juice from a mumble.,inconceivable
squishing a blueberry using their finger.,probable
squishing a blueberry using their nose.,improbable
squishing a blueberry using their breath.,impossible
squishing a blueberry using a sight.,inconceivable
starting a fire using kindling.,probable
starting a fire using furniture.,improbable
starting a fire using milk.,impossible
starting a fire using humor.,inconceivable
storing dishes inside a cabinet.,probable
storing dishes inside an attic.,improbable
storing dishes inside a thimble.,impossible
storing dishes inside an equation.,inconceivable
taking a vacation to the beach.,probable
taking a vacation to the desert.,improbable
taking a vacation to the sun.,impossible
taking a vacation to a verb.,inconceivable
tightening a bolt using a wrench.,probable
tightening a bolt using chopsticks.,improbable
tightening a bolt using a house.,impossible
tightening a bolt using a dream.,inconceivable
turning an apple into a pie.,probable
turning an apple into a salad.,improbable
turning an apple into a cherry.,impossible
turning an apple into honesty.,inconceivable
unlocking a door using a key.,probable
unlocking a door using a screwdriver.,improbable
unlocking a door using a marshmallow.,impossible
unlocking a door using a lie.,inconceivable
washing their hair using shampoo.,probable
washing their hair using detergent.,improbable
washing their hair using a rainbow.,impossible
washing their hair using applause.,inconceivable
wearing shoes made of leather.,probable
wearing shoes made of wood.,improbable
wearing shoes made of stars.,impossible
wearing shoes made of traffic.,inconceivable
wrapping a present using paper.,probable
wrapping a present using a dress.,improbable
wrapping a present using ketchup.,impossible
wrapping a present using gossip.,inconceivable
writing a letter using a pen.,probable
writing a letter using a stylus.,improbable
writing a letter using a snowflake.,impossible
writing a letter using a marathon.,inconceivable
writing an equation on a chalkboard.,probable
writing an equation on a billboard.,improbable
writing an equation on an atom.,impossible
writing an equation on a scream.,inconceivable
