sentence,label,possible,impossible,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
Someone is about to play with a toy.,possible,1.0,0.0,0.958292754551793,-0.13204279574062983,-3.0528784254745287,-0.13204279574062983,3.504505606706498
Someone is about to play with a wolf.,improbable,0.8,0.2,1.4558064403385067,0.22511849509257453,-3.85147974228364,0.22511849509257453,3.3158876743247676
Someone is about to play with magic.,impossible,0.4358974358974359,0.5641025641025641,1.3188249321808887,-0.7313773277697933,-6.059429833053317,-0.7313773277697933,3.577693674535102
Someone is about to ride a cow.,improbable,0.85,0.15,1.4120766484190264,-0.09292462002053858,-3.8153588382216452,-0.09292462002053858,3.855714836762581
Someone is about to ride a horse.,possible,1.0,0.0,1.5744316996668188,-0.6762254394792314,-3.402360615372935,-0.6762254394792314,3.3418541981411787
Someone is about to ride an ogre.,impossible,0.0769230769230769,0.9230769230769232,1.45956703830198,-1.0844480571229644,-4.065402521873326,-1.0844480571229644,3.048985179973256
Someone is about to shake someone's hand with their hand.,possible,1.0,0.0,1.463005718982857,-0.7427557949238679,-3.088081455608267,-0.7427557949238679,4.439800709427321
Someone is about to shake someone's hand with their mind.,impossible,0.0263157894736842,0.9736842105263158,3.179160447886637,0.5950011704474325,-3.579839132628577,0.5950011704474325,5.486478860808869
Someone is about to shake someone's hand with their mouth.,improbable,0.5641025641025641,0.4358974358974359,2.5772844526357033,-0.36630723245803387,-3.322417661198916,-0.36630723245803387,4.849965718395252
Someone is about to stay awake for 5 days.,improbable,0.525,0.475,5.774968798995808,0.5444639122193007,-0.09040936392345211,0.5444639122193007,5.452603672249429
Someone is about to stay awake for 5 hours.,possible,1.0,0.0,4.608557007806433,0.6840642089885463,0.08150013056764616,0.6840642089885463,5.629528578711889
Someone is about to stay awake for 5 years.,impossible,0.0512820512820512,0.9487179487179488,5.660387148631392,1.8003730808817364,0.9938720966136079,1.8003730808817364,6.263951510048989
Someone is about to steal a large rock.,improbable,0.975,0.025,-0.6171690758051414,-0.03466154740764782,-4.179268258880594,-0.03466154740764782,3.831265122943952
Someone is about to turn an onion into apple juice.,impossible,0.0,1.0,1.0377848830824528,0.07813040658471748,-3.5405735853723637,0.07813040658471748,4.070827795663375
Someone is about to turn an onion into onion juice.,improbable,0.9230769230769232,0.0769230769230769,0.7836713869673857,0.4169187688871602,-3.448662079596012,0.4169187688871602,4.900348481447624
Someone is about to turn an onion into onion slices.,possible,0.9736842105263158,0.0263157894736842,1.2631755166423506,0.7562536186715594,-3.4072064973001246,0.7562536186715594,5.100293448913372
Someone is about to unlock a door with a doorkey.,possible,1.0,0.0,-0.5826487585162134,-1.3686261916793596,-2.491671532446462,-1.3686261916793596,4.077983652610765
Someone is about to unlock a door with a toothpick.,improbable,0.6666666666666666,0.3333333333333333,2.3161267022933685,-0.39393566767816823,-1.9343321070228647,-0.39393566767816823,5.498764458777347
Someone is about to unlock a door with their mind.,impossible,0.05,0.95,0.9406795904848235,1.5793395897007847,-4.538077341171807,1.5793395897007847,5.862707553853067
Someone is about to wait in line to go into the store.,possible,1.0,0.0,1.2107176081829294,-0.8771201877514796,-2.5707190933665434,-0.8771201877514796,4.090041844589827
Someone is about to walk through a brick wall.,impossible,0.1025641025641025,0.8974358974358975,-0.24773738748483787,-0.006463077399218253,-4.365715033692073,-0.006463077399218253,5.086310554667416
Someone is about to walk through a hot fire.,improbable,0.6153846153846154,0.3846153846153846,0.6415597231143695,0.7150571322451548,-4.415033817323522,0.7150571322451548,5.48629152786982
Someone is about to walk through an open door.,possible,1.0,0.0,-0.7570171835418877,-0.1426938433513435,-3.9985415731305025,-0.1426938433513435,4.388765517426777
Someone is about to wear shoes made out of leather.,possible,1.0,0.0,-0.6073317549505428,-1.8021185517259959,-5.644179432185746,-1.8021185517259959,2.5568728167682564
Someone is about to wear shoes made out of light.,impossible,0.05,0.95,1.6188975671788683,0.8961892810899295,-4.590880764014015,0.8961892810899295,3.920017934688833
Someone is about to wear shoes made out of stone.,improbable,0.4594594594594595,0.5405405405405406,1.3435082835502703,-0.0678157854269481,-5.1168538686591365,-0.0678157854269481,3.895040564934382
